ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1415684828.56196,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1415684828.56196,pg_catalog,pg_db_role_setting,0,0,111668,0,0,0,0,0,0,0,0,0,1210,110458,0,0,0,0
1415684828.56196,pg_catalog,pg_rowsecurity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415684828.56196,pg_catalog,pg_description,0,0,3182,0,0,0,0,0,0,0,0,0,957,6134,0,0,0,0
1415684828.56196,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415684828.56196,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415684828.56196,information_schema,sql_features,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415684828.56196,public,supplier,7,400000,40,40,100000,0,0,0,100000,0,2312,15688,6,104,,,,
1415684828.56196,pg_catalog,pg_class,10761,2659755,742432,689128,1257,441,1219,420,337,2,13700,784763,12518,1538962,,,,
1415684828.56196,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415684828.56196,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1415684828.56196,pg_catalog,pg_operator,0,0,199646,1002122,0,0,0,0,0,0,13307,688510,9789,428851,,,,
1415684828.56196,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1415684828.56196,public,part,8,12000000,26,26,2000000,0,0,0,2000000,0,79007,327741,10,108,,,,
1415684828.56196,pg_catalog,pg_attribute,1826,12450,570617,1232947,4594,130,4416,101,2514,333,22227,626508,8502,1182008,,,,
1415684828.56196,pg_catalog,pg_tablespace,2,4,19413,19413,0,0,0,0,0,0,1202,18213,2439,36461,,,,
1415684828.56196,pg_catalog,pg_statistic,0,0,148090,140805,1011,2829,948,2358,465,118,15273,133642,3786,315211,29023,119337,1899,194465
1415684828.56196,pg_catalog,pg_aggregate,0,0,13636,13636,0,0,0,0,0,0,1608,12028,3499,20368,,,,
