ctime,relname,pid,mode,granted
1415686118.40378,customer,52497,AccessShareLock,t
1415686118.40378,customer,52478,AccessShareLock,t
1415686118.40378,customer_c_mktsegment_c_custkey_idx,52497,AccessShareLock,t
1415686118.40378,customer_c_mktsegment_c_custkey_idx,52478,AccessShareLock,t
1415686118.40378,customer_c_nationkey_c_custkey_idx,52478,AccessShareLock,t
1415686118.40378,customer_c_nationkey_c_custkey_idx,52497,AccessShareLock,t
1415686118.40378,customer_c_phone_idx,52497,AccessShareLock,t
1415686118.40378,customer_c_phone_idx,52478,AccessShareLock,t
1415686118.40378,customer_c_phone_idx_c_acctbal,52497,AccessShareLock,t
1415686118.40378,customer_c_phone_idx_c_acctbal,52478,AccessShareLock,t
1415686118.40378,lineitem,52478,AccessShareLock,t
1415686118.40378,lineitem,52497,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_idx,52497,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_idx,52478,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_idx_l_returnflag,52478,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_idx_l_returnflag,52497,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_idx_part1,52497,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_idx_part1,52478,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_idx_part2,52478,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_idx_part2,52497,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,52478,AccessShareLock,t
1415686118.40378,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,52497,AccessShareLock,t
1415686118.40378,lineitem_l_partkey_l_quantity_l_shipmode_idx,52478,AccessShareLock,t
1415686118.40378,lineitem_l_partkey_l_quantity_l_shipmode_idx,52497,AccessShareLock,t
1415686118.40378,lineitem_l_shipdate_l_suppkey__idx,52497,AccessShareLock,t
1415686118.40378,lineitem_l_shipdate_l_suppkey__idx,52478,AccessShareLock,t
1415686118.40378,nation,52497,AccessShareLock,t
1415686118.40378,orders,52478,AccessShareLock,t
1415686118.40378,orders,52497,AccessShareLock,t
1415686118.40378,orders_o_orderdate_o_orderkey_idx,52497,AccessShareLock,t
1415686118.40378,orders_o_orderdate_o_orderkey_idx,52478,AccessShareLock,t
1415686118.40378,orders_o_orderkey_o_orderdate_idx,52478,AccessShareLock,t
1415686118.40378,orders_o_orderkey_o_orderdate_idx,52497,AccessShareLock,t
1415686118.40378,pg_locks,52501,AccessShareLock,t
1415686118.40378,pg_stat_activity,52508,AccessShareLock,t
1415686118.40378,pg_stat_all_indexes,52513,AccessShareLock,t
1415686118.40378,pg_stat_database,52511,AccessShareLock,t
1415686118.40378,pg_statio_all_tables,52504,AccessShareLock,t
1415686118.40378,pk_customer,52497,AccessShareLock,t
1415686118.40378,pk_customer,52478,AccessShareLock,t
1415686118.40378,pk_lineitem,52478,AccessShareLock,t
